Year,Month,Name,Limit,DeviceName,DeviceType,FlowDirection,Factor
2020,2,N_TO_H,3869.1,40600 ROANS__ 45972 KUYDAL7 75,Line,From-To,1
2020,2,N_TO_H,3869.1,44645 SNGLTN_ 44900 ZENITH_ 98,Line,From-To,1
2020,2,N_TO_H,3869.1,44645 SNGLTN_ 44900 ZENITH_ 99,Line,From-To,1
2020,2,N_TO_H,3869.1,44645 SNGLTN_ 46500 TOMBAL_ 74,Line,From-To,1
2020,2,N_TO_H,3869.1,967 GIBN_CREK 44900 ZENITH_ 18,Line,From-To,1
2020,2,N_TO_H,3869.1,967 GIBN_CREK 44900 ZENITH_ 50,Line,From-To,1
2020,2,PNHNDL,2313.9,11305 DERMOTT 59904 COTTONW 1,Line,To-From,1
2020,2,PNHNDL,2313.9,11305 DERMOTT 59904 COTTONW 2,Line,To-From,1
2020,2,PNHNDL,2313.9,59904 COTTONW 60500 EDITHCL 1,Line,From-To,1
2020,2,PNHNDL,2313.9,59904 COTTONW 60500 EDITHCL 2,Line,From-To,1
2020,2,PNHNDL,2313.9,60501 TESLA7A 60505 EDITHCL 1,Line,From-To,1
2020,2,PNHNDL,2313.9,60501 TESLA7A 60505 EDITHCL 2,Line,From-To,1
2020,2,PNHNDL,2313.9,60501 TESLA7A 61001 JIMTREE 1,Line,From-To,1
2020,2,PNHNDL,2313.9,6101 RILEY7A 60501 TESLA7A 1,Line,To-From,1
2020,2,REDTAP,89999.1,8896 RACHAL4A 88380 RGTAP4A 1,Line,To-From,1
2020,2,RV_RH,89999.1,5745 ERAYMNDV 80309 LASPULG 1,Line,To-From,1
2020,2,RV_RH,89999.1,57900 RAYTPNR 80309 LASPULG 1,Line,To-From,1
2020,2,RV_RH,89999.1,8302 RAYMND24 80309 LASPULG 1,Line,To-From,1
2020,2,RV_RH,89999.1,8319 RIOHONDO 80309 LASPULG 1,Line,To-From,1
2020,2,TRDWEL,89999.1,6365 YELWJCKT 60423 TREADWE 1,Line,To-From,1
2020,2,TRDWEL,89999.1,6480 SAPOWER4 60423 TREADWE 1,Line,To-From,1
2020,2,VALIMP,1685.7,5742 YTURRIAS 8302 RAYMND24 1,Line,From-To,1
2020,2,VALIMP,1685.7,8383 NEDIN7A 8574 POMELO7A 1,Line,To-From,1
2020,2,VALIMP,1685.7,8455 LONHILL7 8905 NEDIN7C 1,Line,From-To,1
2020,2,VALIMP,1685.7,8795 ROMA_SW4 80106 FALCONS 1,Line,To-From,1
2020,2,VALIMP,1685.7,8896 RACHAL4A 88380 RGTAP4A 1,Line,From-To,1
2020,2,VALIMP,1685.7,8902 RIOHONDO 80512 MGVLYTP 1,Line,To-From,1
2020,3,BEARKT,89999.1,23875 EINSTEI 59903 BEARKAT 1,Line,To-From,1
2020,3,BEARKT,89999.1,59902 SAND_BL 59903 BEARKAT 1,Line,To-From,1
2020,3,EASTEX,89999.1,3100 MARTINLK 3102 TYLERGND 1,Line,From-To,1
2020,3,EASTEX,89999.1,3100 MARTINLK 3103 SHAMBRGR 1,Line,From-To,1
