Path,Sourcename,Sinkname,PEAKTYPE,HEDGETYPE,Period,DA congestion,RT LMP,Seq6,Seq5,Seq4,Seq3,Seq2,Seq1,Monthly Auction,Monthly Auction PnL,Seq1 PnL,Seq2 PnL,Seq3 PnL,Seq4 PnL,Seq5 PnL,Seq6 PnL,Plant,Size (MW),ShadowPricePerMWH,BidPricePerMWH
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2020-01-01,-0.1236,0.0014,,-0.08,0.22,-0.192,-0.3175,-0.2865,-0.2407,0.1171,0.1629,0.1939,0.0684,-0.3436,-0.0436,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2020-02-01,-0.093,0.0036,,-0.08,0.1,-0.1916,-0.3371,-0.3529,-0.1598,0.06679999999999997,0.2599,0.2441,0.09859999999999998,-0.193,-0.013000000000000013,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2020-03-01,0.272,0.0072,,-0.09,-0.32,-0.3723,-0.4919,-0.4697,-0.3404,0.6124,0.7417,0.7639,0.6443000000000001,0.5920000000000001,0.36200000000000004,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2020-04-01,-0.0363,-0.0106,,-0.1,0.65,0.155,-0.3085,-0.4416,-0.2361,0.1998,0.4053,0.2722,-0.1913,-0.6863,0.0637,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2020-05-01,-0.1455,-0.0028,,0.2,-0.16,-0.3836,-0.585,-0.6787,-0.196,0.05050000000000002,0.5332,0.4395,0.2381,0.014500000000000013,-0.34550000000000003,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2020-06-01,-0.278,-0.0001,,-0.19,-0.71,-0.8097,-0.6774,-0.5354,-0.3176,0.03959999999999997,0.2574,0.3994,0.5317,0.432,-0.08800000000000002,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2020-07-01,-0.1764,-0.0039,-0.2,-0.58,-0.6754,-0.6844,-0.3437,-0.5211,-0.2085,0.03209999999999999,0.3447,0.1673,0.508,0.499,0.4036,0.02360000000000001,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2020-08-01,0.2428,-0.0118,-0.24,-0.24,-0.6011,-0.8171,-0.2988,-0.4108,-0.32,0.5628,0.6536,0.5416,1.0599,0.8439,0.4828,0.4828,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2020-09-01,-0.1864,0.0119,-0.14,-0.34,-0.5287,-0.6848,-0.2585,-0.5763,-0.2733,0.08689999999999998,0.3899,0.0721,0.4984,0.34229999999999994,0.1536,-0.0464,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2020-10-01,-0.2302,-0.1915,-0.18,-0.19,-0.5783,-0.7072,-0.4151,-0.3315,-0.1144,-0.1158,0.10130000000000004,0.18490000000000004,0.4770000000000001,0.3481000000000001,-0.04019999999999999,-0.0502,,,,
