Operations_Name,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
D5_S1,Line,From - To,348.4,348.4,Hard Constraint,SP5CAG8,FEB_2019,Off-peak,209.68
D5_S1,Line,From - To,339.3,339.3,Hard Constraint,SP5CAG8,FEB_2019,PeakWE,223.02
P5_X1,Line,From - To,338.4,338.4,Hard Constraint,SLEOS18,FEB_2019,PeakWD,1092.86
RAY_ALOE,Line,From - To,40.5,40.5,Hard Constraint,SWARVIC8,FEB_2019,PeakWE,75.13
RAY_L_46,Line,From - To,155.7,155.7,Hard Constraint,SFORRAY8,FEB_2019,PeakWE,0.06
RAY_L_46,Line,From - To,155.7,155.7,Hard Constraint,SLOLBLE8,FEB_2019,PeakWE,25.06
BAY_SARG,Line,From - To,40.5,40.5,Hard Constraint,DSTPDOW5,FEB_2019,Off-peak,36.49
BAY_SARG,Line,From - To,40.5,40.5,Hard Constraint,DSTPDOW5,FEB_2019,PeakWD,3914.76
BAY_SARG,Line,From - To,40.5,40.5,Hard Constraint,DSTPDOW5,FEB_2019,PeakWE,986.43
SAR_FRAN,Line,To - From,-40.5,40.5,Hard Constraint,SBLESTP5,FEB_2019,Off-peak,1911.32
SAR_FRAN,Line,To - From,-40.5,40.5,Hard Constraint,XBLE58,FEB_2019,Off-peak,16538.05
SAR_FRAN,Line,To - From,-41.0,41.0,Hard Constraint,XBLE58,FEB_2019,PeakWD,65653.73
SAR_FRAN,Line,To - From,-40.5,40.5,Hard Constraint,XBLE58,FEB_2019,PeakWE,23074.29
BURNS_RIOHONDO,Line,To - From,-156.6,156.6,Hard Constraint,DRIOHAR5,FEB_2019,Off-peak,221.21
BURNS_RIOHONDO,Line,To - From,-156.6,156.6,Hard Constraint,DRIOHAR5,FEB_2019,PeakWD,1294.75
BURNS_RIOHONDO,Line,To - From,-156.6,156.6,Hard Constraint,DRIOHAR5,FEB_2019,PeakWE,465.86
RIOHND_ERIOHND,Line,To - From,-115.2,115.2,Hard Constraint,,FEB_2019,Off-peak,56.48
RIOHND_ERIOHND,Line,From - To,115.2,115.2,Hard Constraint,,FEB_2019,Off-peak,39.18
RIOHND_ERIOHND,Line,To - From,-115.2,115.2,Hard Constraint,,FEB_2019,PeakWD,86.7
RIOHND_ERIOHND,Line,To - From,-115.2,115.2,Hard Constraint,,FEB_2019,PeakWE,33.35
RIOHND_ERIOHND,Line,From - To,115.2,115.2,Hard Constraint,,FEB_2019,PeakWE,6.62
FALCON_FALCNS1,Line,To - From,-69.3,69.3,Hard Constraint,SFALFA28,FEB_2019,Off-peak,5.0
FALCON_FALCNS1,Line,From - To,69.3,69.3,Hard Constraint,SFALFA28,FEB_2019,Off-peak,14.28
FALCON_FALCNS1,Line,To - From,-69.3,69.3,Hard Constraint,SFALFA28,FEB_2019,PeakWD,310.26
FALCON_FALCNS1,Line,From - To,69.3,69.3,Hard Constraint,SFALFA28,FEB_2019,PeakWD,50.63
FALCON_FALCNS1,Line,To - From,-69.3,69.3,Hard Constraint,SFALFA28,FEB_2019,PeakWE,32.88
FALCON_FALCNS1,Line,From - To,69.3,69.3,Hard Constraint,SFALFA28,FEB_2019,PeakWE,14.58
DIL_COTU,Line,From - To,41.4,41.4,Hard Constraint,DDILCOT8,FEB_2019,Off-peak,1379.94
DIL_COTU,Line,From - To,41.4,41.4,Hard Constraint,SJARDIL8,FEB_2019,PeakWD,11177.1
DIL_COTU,Line,From - To,41.4,41.4,Hard Constraint,SJARDIL8,FEB_2019,PeakWE,5170.94
2584,Line,From - To,109.8,109.8,Hard Constraint,SRAZD18,FEB_2019,PeakWD,65.31
CKT_3124,Line,From - To,1080.0,1080.0,Hard Constraint,DSTPDOW5,FEB_2019,Off-peak,93.31
CKT_3124,Line,To - From,-1080.0,1080.0,Hard Constraint,DWAPHLJ5,FEB_2019,Off-peak,49.45
CKT_3124,Line,From - To,1080.0,1080.0,Hard Constraint,DSTPDOW5,FEB_2019,PeakWD,191.06
CKT_3124,Line,To - From,-1080.0,1080.0,Hard Constraint,DWAPHLJ5,FEB_2019,PeakWE,36.54
OCB_2175,Line,To - From,-189.9,189.9,Hard Constraint,SMILMIL8,FEB_2019,Off-peak,5.63
OCB_2175,Line,To - From,-189.9,189.9,Hard Constraint,SMILMIL8,FEB_2019,PeakWD,304.24
OCB_2175,Line,To - From,-189.9,189.9,Hard Constraint,SMILMIL8,FEB_2019,PeakWE,38.8
KT2_KNE,Line,To - From,-82.8,82.8,Hard Constraint,SJOPJAC8,FEB_2019,Off-peak,4.48
KT2_KNE,Line,From - To,82.8,82.8,Hard Constraint,,FEB_2019,Off-peak,2.24
KT2_KNE,Line,From - To,82.8,82.8,Hard Constraint,SBAKWAY5,FEB_2019,PeakWD,0.55
